"","state","week_end","delay.adj.count.lcl","delay.adj.count.med","delay.adj.count.ucl"
"94","IA","2020-04-11",591.236939936924,594.189963803511,597.593650490018
"95","IA","2020-04-18",630.543387800076,634.107180724307,638.408589005677
"96","IA","2020-04-25",571.487300221344,575.581850659173,580.164980458414
"97","ID","2020-03-07",278.146428018062,278.615336906707,279.23695403119
"98","ID","2020-03-14",284.14969306277,284.633151078814,285.277796630417
"99","ID","2020-03-21",308.212044046738,308.745227032085,309.434235272118
"100","ID","2020-03-28",332.258250355588,332.814492862368,333.54694565922
"101","ID","2020-04-04",271.385923436831,271.939379382608,272.671116795177
"102","ID","2020-04-11",304.783487210932,305.683479182573,306.828847074739
"103","ID","2020-04-18",282.711648410751,283.823080520739,285.135597009662
"104","ID","2020-04-25",261.888315968544,263.325750220984,264.982827785063
"105","IL","2020-03-07",2251.68985796759,2253.44047079731,2255.88520053614
"106","IL","2020-03-14",2185.10485264186,2187.01264023429,2189.27787874333
"107","IL","2020-03-21",2273.78379993413,2276.25274126329,2279.01410586854
"108","IL","2020-03-28",2289.9912063225,2292.96630778357,2296.26894352884
"109","IL","2020-04-04",2604.61854237305,2609.02091544678,2613.66431420658
"110","IL","2020-04-11",2846.31521363833,2852.11046479316,2859.36376922213
"111","IL","2020-04-18",2860.95775973816,2869.59940745288,2879.53460120052
"112","IL","2020-04-25",2872.4824101217,2887.4629037775,2906.2367740876
"113","IN","2020-03-07",1356.85505185012,1359.78049990416,1362.7348049153
"114","IN","2020-03-14",1391.16545994618,1394.44925862554,1397.66108572192
"115","IN","2020-03-21",1316.72304283783,1320.45795603391,1324.28342187466
"116","IN","2020-03-28",1466.29771311933,1471.47061555302,1476.60679048092
"117","IN","2020-04-04",1566.82853642553,1573.95961455319,1581.01874145273
"118","IN","2020-04-11",1629.33461726123,1639.79480061043,1649.55775210547
"119","IN","2020-04-18",1498.22721901069,1509.88808799972,1522.59801104512
"120","IN","2020-04-25",1580.23162396749,1598.73417239635,1617.7954639232
"121","KS","2020-03-07",576.557306582809,577.669327999103,579.444892831652
"122","KS","2020-03-14",522.754196482585,524.074325406939,526.057725413665
"123","KS","2020-03-21",515.323578036552,516.801950616317,518.662630293567
"124","KS","2020-03-28",520.487468808385,522.216539541512,524.478425751504
"125","KS","2020-04-04",546.856560652589,548.975344520685,551.479805130252
"126","KS","2020-04-11",518.423890471948,520.710281343957,523.229406679235
"127","KS","2020-04-18",545.621333862292,548.526739035741,551.600687658903
"128","KS","2020-04-25",530.661256941455,534.241644252769,538.367502204215
"129","KY","2020-03-07",980.681923014379,984.771913218876,989.007309933647
"130","KY","2020-03-14",1000.3772836221,1004.82735875605,1009.52438452687
"131","KY","2020-03-21",927.425741684772,932.71583493345,937.725944093121
"132","KY","2020-03-28",923.348031821393,929.864462110085,936.85850680471
"133","KY","2020-04-04",1030.91086969944,1040.2153747368,1050.08751745172
"134","KY","2020-04-11",999.533567845606,1011.08556221027,1023.21152322604
"135","KY","2020-04-18",932.017985346047,947.580850936024,965.646249259019
"136","KY","2020-04-25",891.07949045405,915.346968065342,941.083177309659
"137","LA","2020-03-07",948.585319025779,952.56766897136,956.311475429092
"138","LA","2020-03-14",953.887076419722,958.928040699251,963.366444349045
"139","LA","2020-03-21",910.915383500384,916.253062233798,921.417452014951
"140","LA","2020-03-28",1204.89651228476,1212.80917780112,1220.60121475273
"141","LA","2020-04-04",1336.91049531974,1346.91163948078,1357.36670265906
"142","LA","2020-04-11",1474.23326981676,1487.51438847659,1502.72698999034
"143","LA","2020-04-18",1295.62792169306,1311.12929173034,1328.95482652037
"144","LA","2020-04-25",1129.96721413574,1149.0985790221,1169.10318790478
"145","MA","2020-03-07",1218.63433151244,1220.31591310967,1222.38548408971
"146","MA","2020-03-14",1313.0465139601,1315.18228261835,1317.80889836616
"147","MA","2020-03-21",1173.09491795109,1175.02188460595,1177.32174499222
"148","MA","2020-03-28",1292.42950538505,1295.1525111109,1297.72596440498
"149","MA","2020-04-04",1550.82452529606,1553.90537940326,1557.64066790093
"150","MA","2020-04-11",2031.30374113706,2036.08278005281,2041.09982666458
"151","MA","2020-04-18",2455.67087998326,2462.71368873423,2470.29529411885
"152","MA","2020-04-25",2417.04871290067,2426.37779722285,2435.50676862379
"153","MD","2020-03-07",1044.8325362332,1045.96386042108,1047.41096975053
"154","MD","2020-03-14",1007.54445374226,1008.86562757844,1010.33074540553
"155","MD","2020-03-21",1059.32689475009,1060.8377502032,1062.36095997683
"156","MD","2020-03-28",1094.49531009674,1096.49377545704,1098.4734835991
"157","MD","2020-04-04",1189.17698708867,1191.4915418331,1193.92895999124
"158","MD","2020-04-11",1352.39018016839,1355.56567469487,1359.09561384217
"159","MD","2020-04-18",1345.00895324299,1348.7837369597,1353.07968167389
"160","MD","2020-04-25",1466.99671093782,1472.32791516044,1477.99542573785
"161","ME","2020-03-07",313.222647792542,313.667591903627,314.536646180365
"162","ME","2020-03-14",301.316473702514,301.803773051887,302.732907732539
"163","ME","2020-03-21",277.372068360718,277.880033975714,278.7563517307
"164","ME","2020-03-28",279.413691394357,279.906532534063,280.811870711665
"165","ME","2020-04-04",300.461297071987,300.990689879031,301.978224807689
"166","ME","2020-04-11",304.496742579842,305.030522221436,306.017013721939
"167","ME","2020-04-18",310.918336562228,311.652114401426,312.83116406806
"168","ME","2020-04-25",282.464771784323,283.510939499005,284.81529661272
"169","MI","2020-03-07",1995.76927333704,2012.78962918199,2037.04237636759
"170","MI","2020-03-14",1964.36608833137,1982.90307380468,2009.03168445975
"171","MI","2020-03-21",2027.46976637885,2051.69592551421,2082.68620052333
"172","MI","2020-03-28",2411.5089626082,2443.8628667778,2486.4541286227
"173","MI","2020-04-04",3042.65596102325,3087.35747930132,3146.28830881257
